2025-10-13 11:54:10 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 11:54:10 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 12:59:42 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 12:59:42 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:05:48 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:05:48 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:08:52 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:08:52 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:41:22 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:41:22 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:49:22 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:49:22 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:52:56 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:52:56 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:55:52 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:55:52 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:57:47 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 13:57:47 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:28:39 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:28:39 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:37:59 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:37:59 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:39:22 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:39:22 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:43:55 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:43:55 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:45:08 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:45:08 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:47:09 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 14:47:09 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 15:20:32 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 15:20:32 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 15:27:13 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 15:27:13 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 17:49:43 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
2025-10-13 17:49:43 | rex | Ground loot | ID:1265 | Bronze pickaxe x1 | 1 gp each | 1 gp total
