=== FLOOR UNDERLAY DUMP ===
Format: ID | RGB Color | HSL16 | Hue | Saturation | Luminance
=========================================

ID:    1 | RGB: 0x282820 | HSL16:  9372 | H:  42 | S:  28 | L:  36
ID:    2 | RGB: 0xB7D49A | HSL16: 15462 | H:  64 | S: 101 | L: 183
ID:    3 | RGB: 0xA99FE0 | HSL16: 45285 | H: 177 | S: 128 | L: 191
ID:    4 | RGB: 0xFC49AA | HSL16:   965 | H: -23 | S: 245 | L: 162
ID:    5 | RGB: 0x604040 | HSL16:  1331 | H:   0 | S:  51 | L:  80
ID:    6 | RGB: 0x302020 | HSL16:  1049 | H:   0 | S:  51 | L:  40
ID:    7 | RGB: 0x906830 | HSL16:  6705 | H:  24 | S: 128 | L:  96 <-- POSSIBLE LAVA
ID:    8 | RGB: 0x383830 | HSL16:  9370 | H:  42 | S:  19 | L:  52
ID:    9 | RGB: 0x7A7880 | HSL16: 44085 | H: 181 | S:   8 | L: 124
ID:   10 | RGB: 0x282018 | HSL16:  3212 | H:  21 | S:  64 | L:  32
ID:   11 | RGB: 0x504840 | HSL16:  4260 | H:  21 | S:  28 | L:  72
ID:   12 | RGB: 0x484038 | HSL16:  4124 | H:  21 | S:  32 | L:  64
ID:   13 | RGB: 0x807048 | HSL16:  8373 | H:  30 | S:  71 | L: 100 <-- POSSIBLE LAVA
ID:   14 | RGB: 0x584828 | HSL16:  8618 | H:  28 | S:  96 | L:  64
ID:   15 | RGB: 0x383828 | HSL16: 11413 | H:  42 | S:  42 | L:  48
ID:   16 | RGB: 0x828B9F | HSL16: 41031 | H: 157 | S:  33 | L: 144
ID:   17 | RGB: 0x003838 | HSL16: 34701 | H: 128 | S: 255 | L:  28
ID:   18 | RGB: 0x7296B7 | HSL16: 39368 | H: 148 | S:  82 | L: 148
ID:   19 | RGB: 0x303525 | HSL16: 13594 | H:  56 | S:  45 | L:  45
ID:   20 | RGB: 0x788868 | HSL16: 14523 | H:  64 | S:  34 | L: 120
ID:   21 | RGB: 0x803060 | HSL16:   429 | H: -25 | S: 116 | L:  88
ID:   22 | RGB: 0x873968 | HSL16:   428 | H: -25 | S: 104 | L:  96
ID:   23 | RGB: 0x6050A8 | HSL16: 45385 | H: 178 | S:  90 | L: 124
ID:   24 | RGB: 0x282848 | HSL16: 41360 | H: 170 | S:  73 | L:  56
ID:   25 | RGB: 0x183018 | HSL16: 19727 | H:  85 | S:  85 | L:  36
ID:   26 | RGB: 0xB09058 | HSL16:  8502 | H:  27 | S:  90 | L: 132 <-- POSSIBLE LAVA
ID:   27 | RGB: 0x191919 | HSL16:     1 | H:   0 | S:   0 | L:  25
ID:   28 | RGB: 0x601880 | HSL16: 52892 | H: 200 | S: 175 | L:  76
ID:   29 | RGB: 0x202018 | HSL16:  8337 | H:  42 | S:  36 | L:  28
ID:   30 | RGB: 0x304040 | HSL16: 32915 | H: 128 | S:  36 | L:  56
ID:   31 | RGB: 0x688080 | HSL16: 30771 | H: 128 | S:  26 | L: 116
ID:   32 | RGB: 0x818173 | HSL16: 11320 | H:  42 | S:  14 | L: 122
ID:   33 | RGB: 0x29380F | HSL16: 17043 | H:  58 | S: 147 | L:  35
